3M Company,DOW 30
American Express Company,DOW 30
Apple Inc.,DOW 30
Caterpillar Inc.,DOW 30
Chevron Corporation,DOW 30
"Cisco Systems, Inc.",DOW 30
DowDuPont Inc.,DOW 30
Exxon Mobil Corporation,DOW 30
General Electric Company,DOW 30
Intel Corporation,DOW 30
International Business Machines Corporation,DOW 30
Johnson & Johnson,DOW 30
JPMorgan Chase & Co.,DOW 30
McDonald's Corporation,DOW 30
"Merck & Co., Inc.",DOW 30
Microsoft Corporation,DOW 30
"Nike, Inc.",DOW 30
Pfizer Inc.,DOW 30
The Boeing Company,DOW 30
The Coca-Cola Company,DOW 30
"The Goldman Sachs Group, Inc.",DOW 30
"The Home Depot, Inc.",DOW 30
The Procter & Gamble Company,DOW 30
"The Travelers Companies, Inc.",DOW 30
The Walt Disney Company,DOW 30
United Technologies Corporation,DOW 30
UnitedHealth Group Inc.,DOW 30
Verizon Communications Inc.,DOW 30
Visa Inc.,DOW 30
"Wal-Mart Stores, Inc.",DOW 30
American Airlines Group,NASDAQ 100
Apple Inc.,NASDAQ 100
Adobe Systems Inc.,NASDAQ 100
Analog Devices,NASDAQ 100
"ADP, Inc.",NASDAQ 100
"Autodesk, Inc.",NASDAQ 100
Align Technology,NASDAQ 100
Alexion Pharmaceuticals,NASDAQ 100
"Applied Materials, Inc.",NASDAQ 100
Amgen Inc.,NASDAQ 100
"Amazon.com, Inc.",NASDAQ 100
ASML Holding,NASDAQ 100
Activision Blizzard,NASDAQ 100
Broadcom Limited,NASDAQ 100
"Baidu.com, Inc.",NASDAQ 100
"Biogen, Inc.",NASDAQ 100
BioMarin Pharmaceutical,NASDAQ 100
"CA, Inc.",NASDAQ 100
Cadence Design Systems,NASDAQ 100
Celgene Corp.,NASDAQ 100
Cerner Corp.,NASDAQ 100
Check Point Ltd.,NASDAQ 100
"Charter Communications, Inc.",NASDAQ 100
Comcast Corp. Class A Common,NASDAQ 100
Costco Wholesale Corp.,NASDAQ 100
"Cisco Systems, Inc.",NASDAQ 100
CSX Corporation,NASDAQ 100
Cintas Corp.,NASDAQ 100
Ctrip,NASDAQ 100
Cognizant Technology Corp.,NASDAQ 100
"Citrix Systems, Inc.",NASDAQ 100
"Dish Network, Inc.",NASDAQ 100
"Dollar Tree, Inc.",NASDAQ 100
Electronic Arts,NASDAQ 100
eBay Inc.,NASDAQ 100
"Express Scripts, Inc.",NASDAQ 100
"Expedia, Inc.",NASDAQ 100
Fastenal Co.,NASDAQ 100
"Facebook, Inc.",NASDAQ 100
"Fiserv, Inc.",NASDAQ 100
"Twenty-First Century Fox, Inc. Class B",NASDAQ 100
21st Century Fox Class A,NASDAQ 100
"Gilead Sciences, Inc.",NASDAQ 100
Alphabet Inc. C Class,NASDAQ 100
Alphabet Inc. Class A,NASDAQ 100
Hasbro Inc.,NASDAQ 100
Hologic,NASDAQ 100
"Henry Schein, Inc.",NASDAQ 100
"IDEXX Laboratories, Inc.",NASDAQ 100
"Illumina, Inc.",NASDAQ 100
Incyte Corp,NASDAQ 100
Intel Corporation,NASDAQ 100
"Intuit, Inc.",NASDAQ 100
Intuitive Surgical Inc.,NASDAQ 100
"J. B. Hunt, Inc.",NASDAQ 100
JD.com,NASDAQ 100
Kraft Foods Inc.,NASDAQ 100
KLA-Tencor Corp.,NASDAQ 100
Liberty Global plc Class A,NASDAQ 100
Liberty Global plc Class C,NASDAQ 100
Lam Research,NASDAQ 100
Liberty Ventures,NASDAQ 100
"Marriott International, Inc.",NASDAQ 100
Microchip Technology,NASDAQ 100
Mondel_z International,NASDAQ 100
MercadoLibre,NASDAQ 100
Monster Beverage,NASDAQ 100
Microsoft Corporation,NASDAQ 100
"Micron Technology, Inc.",NASDAQ 100
Maxim Integrated Products,NASDAQ 100
"Mylan, Inc.",NASDAQ 100
Netflix,NASDAQ 100
NetEase,NASDAQ 100
NVIDIA Corp.,NASDAQ 100
"O'Reilly Automotive, Inc.",NASDAQ 100
"Paychex, Inc.",NASDAQ 100
PACCAR Inc.,NASDAQ 100
The Priceline Group,NASDAQ 100
PayPal Holdings,NASDAQ 100
"Qualcomm, Inc.",NASDAQ 100
Liberty Interactive,NASDAQ 100
Regeneron Pharmaceuticals,NASDAQ 100
Ross Stores Inc.,NASDAQ 100
Starbucks Corp.,NASDAQ 100
Shire PLC,NASDAQ 100
"Sirius XM Radio, Inc.",NASDAQ 100
Synopsys Inc.,NASDAQ 100
Seagate Technology Holdings,NASDAQ 100
Skyworks Solutions,NASDAQ 100
Symantec Corp.,NASDAQ 100
T-Mobile US Inc,NASDAQ 100
"Tesla Motors, Inc.",NASDAQ 100
Take-Two Interactive Software,NASDAQ 100
"Texas Instruments, Inc.",NASDAQ 100
"Ulta Salon, Cosmetics & Fragrance Inc",NASDAQ 100
Vodafone Group plc,NASDAQ 100
Verisk Analytics,NASDAQ 100
Vertex Pharmaceuticals,NASDAQ 100
Walgreens Boots Alliance,NASDAQ 100
"Workday, Inc.",NASDAQ 100
Western Digital,NASDAQ 100
Wynn Resorts Ltd.,NASDAQ 100
"Xilinx, Inc.",NASDAQ 100
DENTSPLY International Inc.,NASDAQ 100